Year,Title,Genre,Plot,Actors,Director,Rated,Runtime,Metascore
1997,Rurouni Kenshin: The Movie,"Animation, Action, Drama","The clashes between the two warriors, Himura Kenshin, a pacifist who wishes to stop a rebellion from Takimi Shigure and a band of desperate rebels who have sworn to settle one final score with society.","Mayo Suzukaze, Shanon Weaver, Miki Fujitani",Tsuji Hajiki,Not Rated,90 min,N/A
1997,Tenchi the Movie 2: The Daughter of Darkness,"Animation, Comedy, Fantasy","One hot summer day, a young girl suddenly appears in front of Tenchi claming the he's her papa! Everyone wonders who the mother could be, and this greatly upsets Ryoko, and she wants the new rival to leave. Lurking in the backgrou...","Masami Kikuchi, Ai Orikasa, Yumi Takada",Satoshi Kimura,PG-13,95 min,N/A
1997,The Wiggles Movie,"Adventure, Comedy, Family","The Wiggles throw a surprise party for Dorothy the Dinosaur, while she goes after a magician who takes Greg's magic wand to become popular.","Murray Cook, Jeff Fatt, Greg Page",Dean Covell,G,83 min,N/A
1997,Bimbo Movie Bash,"Comedy, Horror, Sci-Fi",A squadron of outer space bimbos decide to take revenge on the male chauvinists of Earth.,"Ian Abercrombie, Adrienne Barbeau, Michelle Bauer","Mike Mendez, Dave Parker",R,80 min,N/A
1997,Bad Movie,"Crime, Drama",A compilation of episodes from the lives of the 'bad teens' and the homeless of Seoul.,"Seul-ki Hang, Kyeong-won Park, Jae-kyeong Lee",Jang Sun-woo,N/A,144 min,N/A
1997,Dibu: The Movie,"Comedy, Family, Fantasy","When Caro and Marce go on vacation they find a new friend, Buji, and just like Dibu, she is a cartoon animated kid. Abu, Pepe, Víctor, Leo and Dibu are left alone at home and they have quite an adventure when they decide to sign-u...","Germán Kraus, Stella Maris Closas, Alberto Anchart","Carlos Olivieri, Alejandro Stoessel",N/A,105 min,N/A
1997,The Accident: A Moment of Truth Movie,Drama,"A preppy teenage girl from Seattle finds her life falling apart after she kills her best friend in a car accident by driving drunk. In spite of the tragedy, she continues to drink alcohol and hide it from her parents.","Donna Bullock, Matt McCoy, Teddi Siddall",Chuck Bowman,N/A,88 min,N/A
1997,1997 MTV Movie Awards,Documentary,The sixth annual MTV Movie Awards. Hosted by Mike Myers.,"Mike Myers, Gillian Anderson, David Arquette","Bruce Gowers, Troy Miller",N/A,N/A,N/A
1998,Pokémon: The First Movie - Mewtwo Strikes Back,"Animation, Action, Adventure","Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","Veronica Taylor, Rachael Lillis, Eric Stuart",Kunihiko Yuyama,G,96 min,35
1998,The Rugrats Movie,"Animation, Adventure, Comedy",The babies gets lost in the forest after Tommy Pickles gets a new baby brother.,"Elizabeth Daily, Christine Cavanaugh, Kath Soucie","Igor Kovalyov, Norton Virgien",G,79 min,62
1998,Rudolph the Red-Nosed Reindeer: The Movie,"Animation, Adventure, Family",It's up to Santa's most famous reindeer to save the day when an evil queen conjures up a storm on Christmas.,"John Goodman, Bob Newhart, Debbie Reynolds",William R. Kowalchuk Jr.,G,83 min,N/A
1998,Gundam Wing: The Movie - Endless Waltz,"Animation, Action, Drama","After Colony 196, Treize Kushrenada is dead and the 5 young soldiers known as the Gundam pilots have brought peace between Earth and the Colonies through Operation me. Now they move on with their lives and their Gundams are being ...","Mark Hildreth, Scott McNeil, Kirby Morrow","Yasunao Aoki, Nana Harada",N/A,90 min,N/A
1998,Hercules and Xena - The Animated Movie: The Battle for Mount Olympus,"Animation, Action, Adventure, Family, Fantasy",Hercules and Xena join forces to save the Gods of Olympus from the all-powerful Titans.,"Kevin Sorbo, Lucy Lawless, Michael Hurst, Renée O'Connor",Lynne Naylor,PG,80 min,N/A
1998,Beach Movie,Comedy,"Link is torn between the two loves of his life: surfing, and his girlfriend Sunny. He's also got to deal with an angry landlady who's threatening to evict him if he doesn't start paying his rent. When three rich but clueless newco...","Alex DeBoe, Gabrielle Anwar, Douglas Spain",John Quinn,R,90 min,N/A
1998,Broken Silence: A Moment of Truth Movie,Drama,"When a young track star is raped by her coach, no one but her mother will believe her story.","Ariana Richards, Susan Blakely, William Bumiller",Joseph L. Scanlan,N/A,87 min,N/A
1998,Shattered Hearts: A Moment of Truth Movie,"Drama, Romance","Teenager Julie's life changes forever when her high-school sweetheart Luke is diagnosed with leukemia. Together they try to make the best of things, intent on carrying out a dream vacation to Canada.","Beth Broderick, Scott Vickaryous, Katie Gratson",James A. Contner,N/A,89 min,N/A
1998,The Cowboy and the Movie Star,"Drama, Romance","Depressed at the thought of losing his family ranch to settle his divorce, cowboy Clint Brannan decides to drive his cattle up to their high pasture. One day into the drive Clint happens across actress Sean Livingston who has run ...","Sean Young, Perry King, Priscilla Barnes",Mark Griffiths,N/A,100 min,N/A
1998,Black Spring Break: The Movie,Comedy,"The tropical paradise of Daytona Beach plays host to its annual deluge of party-hungry college students, including a budding rapper and a football star, who dodge greedy athletic agents while looking for fun and romance.","Daron Fordham, Kenny Flyy, Le Kisha Raine",Marlon Parry,TV-MA,90 min,N/A
1999,Pokémon the Movie 2000,"Animation, Action, Adventure","Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.","Veronica Taylor, Rica Matsumoto, Ikue Ôtani",Kunihiko Yuyama,G,99 min,28
1999,American Movie,"Documentary, Comedy",Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.,"Mark Borchardt, Mike Schank, Tom Schimmels",Chris Smith,R,107 min,84
1999,Batman Beyond: The Movie,"Animation, Action, Sci-Fi","Decades after the retirement of Bruce Wayne as Batman, a boy dons the identity to avenge his own father's murder.","Will Friedle, Kevin Conroy, Teri Garr","Curt Geda, Butch Lukic, Dan Riba",TV-Y7,41 min,N/A
1999,Doug's 1st Movie,"Animation, Adventure, Comedy",Doug and his pal Skeeter set out to find the monster of Lucky Duck Lake.,"Thomas McHugh, Fred Newman, Chris Phillips",Maurice Joyce,G,77 min,N/A
1999,The Underground Comedy Movie,Comedy,A series of comedic short films guaranteed to offend.,"Barbara Snellenburg, Rebekah Chaney, Gloria Sperling",Vince Offer,R,88 min,N/A
1999,Cardcaptor Sakura: The Movie,"Animation, Adventure, Comedy","Ten-year old Sakura Avalon, Cardcaptor of the elusive, magical Clow Cards, unexpectedly wins a trip to Hong Kong where strange dreams lead her to an imprisoned sorceress with close connections to the creator of the cards.","Sakura Tange, Aya Hisakawa, Junko Iwao","Morio Asaka, Terry Klassen",Not Rated,80 min,N/A
1999,Revolutionary Girl Utena: The Movie,"Animation, Action, Adventure","Utena Tenjou disguises herself as a boy for the Ohtori Academy, however she encounters trouble due to a ring which shows she's skilled duelist. As well as this, the vice president of the school challenges her to a duel","Tomoko Kawakami, Yuriko Fuchizaki, Leah Applebaum","Kunihiko Ikuhara, Shingo Kaneko, Katsushi Sakurabi",Not Rated,100 min,N/A
1999,Soccer Dog: The Movie,"Comedy, Family, Sport",A heart-warming comedy about the friendship between the new kid in town and a soccer-playing dog on the lam from the dog-catcher. It's up to these two underdogs to win the PeeWee Soccer League championship game.,"James Marshall, Olivia d'Abo, Jeremy Foley",Tony Giglio,PG,98 min,N/A
1999,GTO: The Movie,"Comedy, Drama",A live action film version of the hit Japanese TV series staring Takashi Sorimachi as Eikichi Onizuka.,"Takashi Sorimachi, Norika Fujiwara, Rena Tanaka",Masayuki Suzuki,N/A,108 min,N/A
1999,Dr. Quinn Medicine Woman: The Movie,"Drama, Western","When Dr. Mike and Sully's daughter Katie is kidnapped, they and a group of townsfolk travel to Mexico to rescue her.","Jane Seymour, Joe Lando, Eduardo Yáñez",James Keach,N/A,86 min,N/A
2000,Scary Movie,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.","Anna Faris, Jon Abrahams, Marlon Wayans",Keenen Ivory Wayans,R,88 min,48
2000,The Tigger Movie,"Animation, Adventure, Comedy",Tigger goes looking through the hundred-acre-wood to find his family.,"Jim Cummings, Nikita Hopkins, Ken Sansom",Jun Falkenstein,G,77 min,53
2000,Pokémon 3 the Movie: Spell of the Unown,"Animation, Action, Adventure","In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.","Veronica Taylor, Eric Stuart, Rica Matsumoto",Kunihiko Yuyama,G,93 min,N/A
2000,Left Behind: The Movie,"Action, Drama, Fantasy",The Biblical prophecy of Armegeddon begins when the Rapture instantly takes all believers in Christ from the Earth. A reporter left behind learns that the Anti-Christ will soon take power.,"Kirk Cameron, Brad Johnson, Janaya Stephens",Vic Sarin,PG-13,96 min,22
2000,An Extremely Goofy Movie,"Animation, Comedy, Family, Sport","Max goes to college, but to his embarassment his father loses his job and goes to his son's campus.","Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings",Douglas McCarthy,G,79 min,N/A
2000,One Piece: The Movie,"Animation, Action, Adventure","There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost 1/3 of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a rem...","Akemi Okamura, Kappei Yamaguchi, Kazuya Nakai",Junji Shimizu,TV-PG,51 min,N/A
2000,Digimon: The Movie,"Animation, Action, Adventure","Throughout three different stories, Kari Kamiya and her friends take on explosive adventures involving digital creatures.","Lara Jill Miller, Joshua Seth, Bob Papenbrook","Bob Buchholz, Mamoru Hosoda, Jeff Nimoy",PG,82 min,20
2000,Escaflowne: The Movie,"Adventure, Animation, Drama","A grim retelling of the television series ""The Vision of Escaflowne"".","Shin'ichirô Miki, Jôji Nakata, Maaya Sakamoto","Kazuki Akane, Yoshiyuki Takei",PG-13,98 min,50
2000,Steal This Movie,"Biography, Drama, Romance","After years of hiding, the notorious American leftist radical, Abbie Hoffman, discusses his life, his cause and the opposition he endured.","Vincent D'Onofrio, Janeane Garofalo, Jeanne Tripplehorn",Robert Greenwald,R,107 min,36
2000,Homicide: The Movie,"Crime, Drama","Al Giardello is shot and the detectives of the Baltimore Homicide Unit return to work to solve the case, including Howard, Munch, Bayliss, Meldrick, Bolander and Kellerman.","Daniel Baldwin, Ned Beatty, Richard Belzer",Jean de Segonzac,PG-13,88 min,N/A
2001,Scary Movie 2,"Comedy, Horror",Four teens are tricked by a professor into visiting a haunted house for a school project.,"Anna Faris, Marlon Wayans, Antony Acker",Keenen Ivory Wayans,R,83 min,29
2001,Not Another Teen Movie,Comedy,A sendup of all the teen movies that have accumulated in the past two decades.,"Chyler Leigh, Jaime Pressly, Chris Evans",Joel Gallen,R,89 min,32
2001,Cowboy Bebop: The Movie,"Animation, Action, Crime","A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit.","Beau Billingslea, Melissa Fahn, Nicholas Guest","Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura",TV-14,115 min,61
2001,Samurai Jack: The Premiere Movie,"Animation, Action, Adventure","In ancient Japan, a samurai warrior embarks on a mission to defeat the evil wizard Aku. Before completing his task, he is jettisoned thousands of years into the future. Suddenly, he discovers he is in a world where Aku now enjoys ...","Jeff Bennett, Grey Griffin, Phil LaMarr","Genndy Tartakovsky, Robert Alvarez, Randy Myers",TV-Y7,90 min,N/A
2001,Inuyasha the Movie: Affections Touching Across Time,"Animation, Action, Adventure","During their journey, Inuyasha, Kagome and their party are attacked by Menoumaru, a monster who is looking for Tessaiga, Inuyasha's sword, to an unknown end.","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",Toshiya Shinohara,Not Rated,100 min,N/A
2001,Christmas Carol: The Movie,"Animation, Family, Fantasy",Old bitter miser Ebenezer Scrooge (Simon Callow) who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,"Simon Callow, Kate Winslet, Nicolas Cage",Jimmy T. Murakami,PG,77 min,N/A
2001,Jett Jackson: The Movie,"Action, Adventure, Comedy",Jett decides to quit Silverstone and lead a normal life. On the day of his last episode he is hit on the head with a prop and in his dream he is Silverstone. He is the only one who realizes that this is a dream.,"Lee Thompson Young, Lindy Booth, Nigel Shawn Williams",Shawn Levy,PG,100 min,N/A
2001,Home Movie,Documentary,Documentary look at five unusual homes and the people who built (or adapted) them.,"Ed Peden, Ben Skora, Diana Peden",Chris Smith,TV-14,66 min,67
2001,Azumanga Daioh: The Very Short Movie,"Animation, Comedy, Short",A short compilation of humourous sketches featuring a group of friends in high school.,"Tomoko Kaneda, Yu Asakawa, Chieko Higuchi",Hiroshi Nishikiori,TV-PG,6 min,N/A
2001,Shenmue: The Movie,"Action, Adventure, Crime",Follow Ryo Hazuki as he attempts to track down the man responsible for his father's death.,"Ryan Drees, Lynn Harris, Ruth Hollyman",Yu Suzuki,N/A,88 min,N/A
2002,Jackass: The Movie,"Documentary, Action, Comedy",Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.,"Johnny Knoxville, Bam Margera, Chris Pontius",Jeff Tremaine,R,85 min,42
2002,The Powerpuff Girls Movie,"Animation, Action, Adventure","After destroying the city of Townsville in a game of tag, a trio of super-powered little girls must redeem themselves by stopping a vengeful monkey's plot for world domination.","Cathy Cavadini, Tara Strong, Elizabeth Daily",Craig McCracken,PG,73 min,65
2002,Hey Arnold! The Movie,"Animation, Adventure, Comedy",Arnold and company must recover a stolen document needed in order to prevent the neighborhood from being bulldozed.,"Spencer Klein, Francesca Marie Smith, Jamil Walker Smith",Tuck Tucker,PG,76 min,47
2002,It's a Very Merry Muppet Christmas Movie,"Adventure, Comedy, Family","After the Muppet Theater faces closure on account of financial hardships, angel Daniel requests Boss to help its owner Kermit the Frog and his team of muppets","Steve Whitmire, Dave Goelz, Bill Barretta",Kirk R. Thatcher,TV-G,100 min,N/A
2002,Jonah: A VeggieTales Movie,"Animation, Adventure, Comedy","When the singing Veggies encounter some car trouble, they are stranded at an old rundown seafood joint, where nothing is quite as it seems.","Phil Vischer, Mike Nawrocki, Tim Hodge","Phil Vischer, Mike Nawrocki",G,82 min,58
2002,Hundtricket - The Movie,"Comedy, Drama, Romance",A shy but very romantic young man tries to meet a girl by walking a borrowed dog. The trick works unbelievably well. They fall in love.,"Linus Wahlgren, Josephine Bornebusch, Alexander Skarsgård","Christian Eklöw, Christopher Panov",N/A,106 min,N/A
2002,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"Animation, Action, Comedy","After seemingly defeating their common enemy, Naraku, what appears to be the near-end of their journey instead leads Inuyasha and Kagome facing against a new threat.","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",Toshiya Shinohara,Not Rated,99 min,N/A
2002,2002 MTV Movie Awards,N/A,The eleventh annual MTV Movie Awards on MTV. Hosted by Jack Black and Sarah Michelle Gellar.,"Jack Black, Sarah Michelle Gellar, Kate Beckinsale",Bruce Gowers,N/A,120 min,N/A
2002,Joan Crawford: The Ultimate Movie Star,Documentary,"In this documentary on the life of Joan Crawford, it is learned why she should be remembered as the great actress she was, and not only as the ""Mommie Dearest"" caricature she has become. Friends, fellow actors, directors, and othe...","Anjelica Huston, Diane Baker, Charles Busch",Peter Fitzgerald,Unrated,87 min,N/A
2002,The Real World Movie: The Lost Season,Comedy,"Things get a little crazy when an obsessed fan, who has been rejected during the audition process numerous times, kidnaps the cast and brings them to a new house. Here, he films them, using highly sophisticated camera equipment th...","Bryan Kirkwood, Matthew Currie Holmes, Shani Pride",Jeffrey Reiner,N/A,87 min,N/A
2003,Scary Movie 3,Comedy,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.","Anna Faris, Charlie Sheen, Regina Hall",David Zucker,PG-13,84 min,49
2003,The Lizzie McGuire Movie,"Adventure, Comedy, Family","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.","Hilary Duff, Adam Lamberg, Clayton Snyder",Jim Fall,PG,94 min,56
2003,Piglet's Big Movie,"Animation, Adventure, Comedy","When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.","John Fiedler, Jim Cummings, Ken Sansom",Francis Glebas,G,75 min,62
2003,Stitch! The Movie,"Animation, Adventure, Comedy, Family, Sci-Fi","Stitch, an alien living on Earth disguised as a dog with his human family, continues his adventures when he discovers that the alien family he never knew he had is now in Hawaii, being hunted down by galactic forces.","Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers","Tony Craig, Roberts Gannaway",G,60 min,N/A
2003,The Even Stevens Movie,"Comedy, Family","Dream vacation Dream on! Ren, Louis, and the entire Stevens family battle ferocious squirrels, angry natives and one another on the adventure of a lifetime.","Shia LaBeouf, Christy Carlson Romano, Donna Pescow",Sean McNamara,TV-G,93 min,N/A
2003,Blue Collar Comedy Tour: The Movie,"Comedy, Documentary",The comedic stylings of four sort-of famous funnymen are brought to the big screen courtesy of this 2002 documentary.,"Jeff Foxworthy, Bill Engvall, Ron White",C.B. Harding,PG-13,105 min,70
2003,The Last Horror Movie,"Horror, Thriller","A serial killer uses a horror video rental to lure his next victim. What begins as a teen slasher transforms into a disturbing journey through the mind of Max Parry, a mild mannered wedding photographer with a taste for human flesh.","Kevin Howarth, Mark Stevenson, Antonia Beamish",Julian Richards,R,80 min,N/A
2003,InuYasha the Movie 3: Swords of an Honorable Ruler,"Animation, Action, Adventure","After 700 years the sword Sounga, who belonged to the Great Dog Demon, is unleashed, tearing a rift in the barrier between the underworld and the earth and stirring the restless souls.","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",Toshiya Shinohara,Not Rated,99 min,N/A
2003,15: The Movie,"Drama, Comedy","Fast, frenetic, and furious, 15 is story of five Singaporian teenagers who, abandoned by system.","Melvin Chen, Erick Chun, Melvin Lee",Royston Tan,TV-MA,96 min,47
2003,The Movie Hero,"Comedy, Romance",A man believes his life is a movie watched by an audience only he can see.,"Jeremy Sisto, Dina Meyer, Peter Stormare",Brad T. Gottfred,Not Rated,98 min,N/A
2004,The SpongeBob SquarePants Movie,"Animation, Adventure, Comedy","SpongeBob takes leave from Bikini Bottom in order to track down, with Patrick, King Neptune's stolen crown.","Tom Kenny, Jeffrey Tambor, Rodger Bumpass","Stephen Hillenburg, Mark Osborne",PG,87 min,66
2004,Garfield: The Movie,"Adventure, Comedy, Family","Jon Arbuckle buys a second pet, a dog named Odie. However, Odie is then abducted and it is up to Jon's cat, Garfield, to find and rescue the canine.","Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky",Peter Hewitt,PG,80 min,27
2004,Yu-Gi-Oh!: The Movie - Pyramid of Light,"Animation, Action, Adventure","Underneath the sands of Egypt, Anubis, an ancient evil spirit, has awakened. It's up to Yugi, who defeated Anubis centuries ago, to use his skill and determination to rid the world of evil once again.","Dan Green, Eric Stuart, Amy Birnbaum",Hatsuki Tsuji,PG,90 min,15
2004,Naruto the Movie: Ninja Clash in the Land of Snow,"Animation, Action, Adventure",Naruto and his team are hired to protect a young actress from three rogue warriors in the Land of the Snow.,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama",Tensai Okamura,TV-14,82 min,N/A
2004,Pokémon the Movie: Destiny Deoxys,"Animation, Action, Adventure","A comet bearing a deadly Pokemon creature crash-lands onto Earth, terrorising a nearby high-tech city, where Ash, Pikachu and friends are currently visiting...","Veronica Taylor, Eric Stuart, Amy Birnbaum",Kunihiko Yuyama,Not Rated,98 min,N/A
2004,The Cutting Edge: The Magic of Movie Editing,"Documentary, History",Documentary about the art of film editing. Clips are shown from many groundbreaking films with innovative editing styles.,"Kathy Bates, Zach Staenberg, Jodie Foster",Wendy Apple,TV-PG,98 min,N/A
2004,Inuyasha the Movie 4: Fire on the Mystic Island,"Animation, Action, Adventure",The past catches up with the world of Inuyasha and Kagome's present in a form they could never have anticipated.,"Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani",Toshiya Shinohara,Not Rated,89 min,N/A
2004,Comic Book: The Movie,Comedy,The relationship between Hollywood and comic book culture is lambasted in this mockumentary as a beloved heroic character is rung through the studio system.,"Mark Hamill, Donna D'Errico, Billy West, Joseph Burns",Mark Hamill,PG-13,106 min,N/A
2004,Clifford's Really Big Movie,"Animation, Adventure, Comedy","Worried that he costs too much to feed, Clifford runs away to join a carnival act and help win a lifetime supply of Tummy Yummies.","John Ritter, Cree Summer, Kel Mitchell","Robert C. Ramirez, Steve Trenbirth",G,74 min,49
2004,See This Movie,Comedy,Two bumbling but determined three-day film school graduates enter the Montreal World Film Festival with a feature film that doesn't exist.,"John Cho, Seth Meyers, Raymond O'Connor",David M. Rosenthal,R,82 min,N/A
2005,Fullmetal Alchemist the Movie: Conqueror of Shamballa,"Animation, Action, Adventure","Edward Elric, an alchemist from an alternate world, races to prevent the Thule Society from harnessing alchemy to wage war on his home.","Vic Mignogna, Aaron Dismuke, Jason Liebrecht",Seiji Mizushima,PG-13,105 min,N/A
2005,Pooh's Heffalump Movie,"Animation, Adventure, Comedy","When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.","Jim Cummings, Brenda Blethyn, Kyle Stanger",Frank Nissen,G,68 min,64
2005,Reefer Madness: The Movie Musical,"Comedy, Drama, Horror",An outrageous tongue-in-cheek musical comedy adaptation of the classic anti-marijuana propaganda film Reefer Madness (1936).,"Kristen Bell, Christian Campbell, Neve Campbell",Andy Fickman,R,109 min,N/A
2005,Naruto the Movie 2: Legend of the Stone of Gelel,"Animation, Action, Adventure","Naruto, Shikamaru and Sakura are on a mission to deliver a lost pet to a village when a mysterious knight appear to confront them.","Junko Takeuchi, Shôtarô Morikubo, Chie Nakamura",Hirotsugu Kawasaki,TV-14,97 min,N/A
2005,Sad Movie,"Comedy, Drama, Romance","This film follows the lives of four very different couples as they deal with love, loss and life in these romantic, loosely interconnected tales.","Jung Woo-sung, Lim Soo-jung, Cha Tae-hyun",Kwon Jong-kwan,Not Rated,108 min,N/A
2005,The Proud Family Movie,"Animation, Adventure, Comedy","Penny and her family are lured on an all expenses paid vacation where a mad scientist captures them, refusing to let them go because Oscar won't reveal his one of his secret Proud Snacks formulas.","Tommy Davidson, Kyla Pratt, Paula Jai Parker",Bruce W. Smith,TV-G,90 min,N/A
2005,A Movie of Eggs,"Animation, Comedy, Family",A small egg named Toto decides that he doesn't want to become the breakfast and starts an adventure to become a chicken.,"Bruno Bichir, Carlos Espejel, Angélica Vale","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste",TV-PG,90 min,N/A
2005,My Big Fat Independent Movie,Comedy,"""My Big Fat Independent Movie"" is a spoof along the lines of ""Scary Movie"" and ""Not Another Teen Movie."" It includes parodies of some of the indie film world's most renowned movies such as ""Memento,"" ""Pulp Fiction,"" ""Magnolia,"" ""M...","Paget Brewster, Neil Barton, Eric Hoffman",Philip Zlotorynski,R,80 min,32
2005,The Naked Brothers Band: The Movie,"Comedy, Family, Music","When a famous band called the Silver Boulders break up, Nat and Alex Wolff go into depression.","Nat Wolff, Alex Wolff, Cooper Pillot",Polly Draper,G,90 min,N/A
2005,Pooh's Heffalump Halloween Movie,"Animation, Comedy, Family, Fantasy, Musical","Lumpy teams with tiny Roo for a Halloween adventure in the Hundred Acre Wood, in this animated tale about friendship, bravery, and teamwork.","Jimmy Bennett, Peter Cullen, Jim Cummings, John Fiedler","Saul Blinkoff, Elliot M. Bour",G,67 min,N/A
2006,Scary Movie 4,Comedy,Cindy finds out a little boy haunts the house she lives in and she goes on a quest to solve his murder.,"Anna Faris, Regina Hall, Craig Bierko",David Zucker,PG-13,83 min,40
2006,Date Movie,"Comedy, Romance","Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.","Alyson Hannigan, Adam Campbell, Fred Willard","Aaron Seltzer, Jason Friedberg",PG-13,83 min,11
2006,Trailer Park Boys: The Movie,"Comedy, Crime","Ricky, Julian, and Bubbles come up with a scheme to steal large amounts of untraceable coins.","Robb Wells, John Paul Tremblay, Mike Smith",Mike Clattenburg,R,95 min,38
2006,Ultimate Avengers: The Movie,"Animation, Action, Adventure, Sci-Fi","To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.","Justin Gross, Grey Griffin, Michael Massee, Marc Worden","Curt Geda, Steven E. Gordon, Bob Richardson",PG-13,72 min,N/A
2006,Another Gay Movie,"Comedy, Romance",Four gay high school friends make a pact to lose their virginity before they go to college.,"Michael Carbonaro, Jonathan Chase, Jonah Blechman",Todd Stephens,Not Rated,92 min,37
2006,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Animation, Action, Adventure","Naruto, Kakashi, Sakura, and Rock Lee are assigned to protect Michiru, the prince of the Land of the Moon, while he travel the world. The prince purchased a tiger Sham and the whole circus, which became the team's protection.","Junko Takeuchi, Chie Nakamura, Yôichi Masukawa",Toshiyuki Tsuru,TV-14,95 min,N/A
2006,Dirty Sanchez: The Movie,"Documentary, Action, Comedy","Four guys set off on a world tour to enact the seven deadly sins. Based on the MTV Europe series ""Dirty Sanchez"".","Mathew Pritchard, Lee Dainton, Michael Locke",Jim Hickey,R,94 min,N/A
2006,The Dudesons Movie,"Documentary, Action, Comedy","""The Dudesons Movie"" is an extreme stunts comedy that features the wild antics of four hilarious, lifelong friends and their crazy lives in the Arctic Circle.","Jarno Leppälä, Jukka Hilden, Jarno Laasala","Jarno Laasala, Tuukka Tiensuu",Not Rated,75 min,N/A
2006,Doraemon the Movie: Nobita's Dinosaur,"Animation, Adventure, Comedy","After bringing a fossilized egg back to life with the Time Cloth, Nobita finds himself the owner of a baby dinosaur. Everything is fine until it grows up. Nobita and friends use Doraemon's time machine to return it back to its own...","Misato Fukuen, Eiichirô Funakoshi, Fumihiko Gotô","Ayumu Watanabe, Kôzô Kusuba",PG,107 min,N/A
2006,Mushi-Shi: The Movie,"Drama, Fantasy",A wandering mystical doctor passes through remote regions of Japan uncovering supernatural creatures called the Mushi and curing people of their effects.,"Joe Odagiri, Nao Ômori, Yû Aoi",Katsuhiro Ôtomo,N/A,131 min,N/A
2007,The Simpsons Movie,"Animation, Adventure, Comedy","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","Dan Castellaneta, Julie Kavner, Nancy Cartwright",David Silverman,PG-13,87 min,80
2007,Bee Movie,"Animation, Adventure, Comedy","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship ...","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","Simon J. Smith, Steve Hickner",PG,91 min,54
2007,Epic Movie,"Adventure, Comedy, Fantasy","A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.","Kal Penn, Jennifer Coolidge, Fred Willard","Jason Friedberg, Aaron Seltzer",PG-13,86 min,17
2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,"Animation, Action, Adventure","An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.","Dana Snyder, Dave Willis, Carey Means","Matt Maiellaro, Dave Willis",R,86 min,54
2007,Naruto Shippûden: The Movie,"Animation, Action, Adventure","A powerful spirit that once threatened to destroy the world is back! Naruto's mission is to protect a priestess named Shion, who is the only one with the power to seal away the monster.","Junko Takeuchi, Chie Nakamura, Yôichi Masukawa",Hajime Kamegaki,Not Rated,94 min,N/A
2007,Kill Buljo: The Movie,"Action, Adventure, Comedy","When a likable hillbilly sees his fiance, friends and family ruthlessly gunned down at his engagement party, he becomes determined to get revenge - as soon as he wakes up from his coma.","Stig Frode Henriksen, Tommy Wirkola, Linda Øverlie Nilsen",Tommy Wirkola,R,93 min,N/A
